stock_code,description_clean,n_transacciones,unidades_totales,revenue_total,precio_medio
23290,SPACEBOY CHILDRENS BOWL,214,2430,2890.35,1.44
23291,DOLLY GIRL CHILDRENS CUP,196,1634,2059.03,1.52
23292,SPACEBOY CHILDRENS CUP,223,2181,2703.33,1.53
23293,SET OF 12 FAIRY CAKE BAKING CASES,554,8471,6989.54,1.07
23294,SET OF 6 SNACK LOAF BAKING CASES,358,4392,3607.81,1.09
23295,SET OF 12 MINI LOAF BAKING CASES,450,6134,5073.45,1.11
23296,SET OF 6 TEA TIME BAKING CASES,382,4979,5985.55,1.52
23297,SET 40 HEART SHAPE PETIT FOUR CASES,163,4303,6792.23,1.84
23298,SPOTTY BUNTING,1161,8466,43148.18,5.52
23299,FOOD COVER WITH BEADS SET 2,146,1012,3772.88,4.37
23300,GARDENERS KNEELING PAD CUP OF TEA,766,6809,11785.99,1.91
23301,GARDENERS KNEELING PAD KEEP CALM,920,8807,16327.35,1.94
23302,KNEELING MAT HOUSEWORK DESIGN,233,1536,2181.42,1.89
23303,SET 4 PICNIC CUTLERY FONDANT,6,65,126.75,1.95
23304,SET 4 PICNIC CUTLERY CHERRY,9,71,138.45,1.95
23305,SET 4 PICNIC CUTLERY BLUEBERRY,9,82,159.9,1.95
23306,SET OF 36 DOILIES PANTRY DESIGN,279,2808,4123.38,1.81
23307,SET OF 60 PANTRY DESIGN CAKE CASES,641,12049,6371.89,0.68
23308,SET OF 60 VINTAGE LEAF CAKE CASES,389,6139,3272.61,0.69
23309,SET OF 60 I LOVE LONDON CAKE CASES,422,8275,4495.85,0.74
23310,BUBBLEGUM RING ASSORTED,246,12050,4997.28,0.48
23311,VINTAGE CHRISTMAS STOCKING,347,2390,6488.2,2.97
23312,VINTAGE CHRISTMAS GIFT SACK,218,1423,5964.15,4.45
23313,VINTAGE CHRISTMAS BUNTING,408,2990,15798.66,5.55
23314,VINTAGE CHRISTMAS TABLECLOTH,118,407,5012.96,13.61
23315,IVORY REFECTORY CLOCK,86,213,2094.24,10.78
23316,RED REFECTORY CLOCK,110,250,2501.64,11.11
23317,BLUE REFECTORY CLOCK,82,173,1777.46,11.23
23318,BOX OF 6 MINI VINTAGE CRACKERS,382,3809,9162.41,2.74
23319,BOX OF 6 MINI 50 S CRACKERS,411,3720,9219.53,2.65
23320,GIANT 50 S CHRISTMAS CRACKER,338,2661,7053.57,2.81
23321,SMALL WHITE HEART OF WICKER,644,4716,8438.54,1.75
23322,LARGE WHITE HEART OF WICKER,572,3069,8878.21,3.14
23323,WHITE WICKER STAR,302,1469,3146.78,2.25
23324,RUSTIC STRAWBERRY JAM POT LARGE,44,399,816.04,2.21
23325,RUSTIC STRAWBERRY JAM POT SMALL,35,462,740.94,1.81
23326,HANGING MINI COLOURED BOTTLES,76,3442,2237.08,2.64
23327,HANGING CLEAR MINI BOTTLE,42,1734,1051.14,0.79
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,409,2841,13269.49,4.85
23329,DECORATIVE WICKER HEART LARGE,250,1767,3038.19,1.77
23330,DECORATIVE WICKER HEART MEDIUM,223,1794,2286.97,1.36
23331,DECORATIVE WICKER HEART SMALL,114,1596,1062.28,0.78
23332,IVORY WICKER HEART LARGE,296,2059,3542.71,1.76
23333,IVORY WICKER HEART MEDIUM,243,2089,2695.45,1.33
23334,IVORY WICKER HEART SMALL,136,2271,1491.75,0.79
23335,EGG FRYING PAN IVORY,97,377,790.78,2.33
23336,EGG FRYING PAN PINK,86,225,519.25,2.6
23337,EGG FRYING PAN MINT,69,180,388.75,2.29
23338,EGG FRYING PAN RED,109,431,915.4,2.34
23339,EGG FRYING PAN BLUE,76,173,400.84,2.51
23340,VINTAGE CHRISTMAS CAKE FRILL,152,2500,4034.08,1.96
23341,PINK DINER WALL CLOCK,121,307,2741.35,9.94
23342,MINT DINER WALL CLOCK,163,373,3176.41,8.83
23343,JUMBO BAG VINTAGE CHRISTMAS,486,6078,13972.71,2.42
23344,JUMBO BAG 50 S CHRISTMAS,722,10285,23772.07,2.42
23345,DOLLY GIRL BEAKER,176,2451,2886.25,1.51
23346,SPACEBOY BEAKER,186,2628,3112.34,1.52
23347,I LOVE LONDON BEAKER,98,860,1077.3,1.56
23348,CHILDRENS TOY COOKING UTENSIL SET,170,746,1633.81,2.58
23349,ROLL WRAP VINTAGE CHRISTMAS,343,3221,4342.6,1.54
23350,ROLL WRAP VINTAGE SPOT,311,2712,3445.08,1.46
23351,ROLL WRAP 50 S CHRISTMAS,358,3535,4875.65,1.51
23352,ROLL WRAP 50 S RED CHRISTMAS,213,1800,2459.2,1.51
23353,6 GIFT TAGS VINTAGE CHRISTMAS,331,4007,3510.05,1.0
23354,6 GIFT TAGS 50 S CHRISTMAS,330,3740,3429.4,0.97
23355,HOT WATER BOTTLE KEEP CALM,796,5816,28718.8,5.27
23356,LOVE HOT WATER BOTTLE,486,2359,13334.32,6.21
23357,HOT WATER BOTTLE SEX BOMB,103,450,1982.05,5.01
23358,HOT STUFF HOT WATER BOTTLE,89,594,2008.38,4.2
23359,SET OF 12 T LIGHTS VINTAGE DOILY,79,990,1866.46,1.99
23360,SET 8 CANDLES VINTAGE DOILY,116,1182,2286.4,2.06
23365,SET 12 COLOUR PENCILS LOVE LONDON,173,1857,1463.08,0.79
23366,SET 12 COLOURING PENCILS DOILY,198,2249,1667.95,0.82
23367,SET 12 COLOUR PENCILS SPACEBOY,285,3278,2491.2,0.76
23368,SET 12 COLOUR PENCILS DOLLY GIRL,236,2379,1679.55,0.78
23369,SET 36 COLOUR PENCILS LOVE LONDON,129,1105,1581.06,1.5
23370,SET 36 COLOURING PENCILS DOILY,153,1550,2151.6,1.54
23371,SET 36 COLOUR PENCILS SPACEBOY,186,1705,2304.78,1.52
23372,SET 36 COLOUR PENCILS DOLLY GIRL,151,1389,1750.29,1.61
23373,VINTAGE CHRISTMAS PAPER GIFT BAG,100,1608,1313.39,0.91
23374,RED SPOT PAPER GIFT BAG,131,2456,1962.83,0.87
23375,50 S CHRISTMAS PAPER GIFT BAG,103,1342,1100.69,0.94
23376,PACK OF 12 VINTAGE CHRISTMAS TISSUE,159,3039,1384.91,0.51
23377,PACK OF 12 DOLLY GIRL TISSUES,134,1351,592.45,0.56
23378,PACK OF 12 50 S CHRISTMAS TISSUES,183,3997,1840.08,0.46
23379,PACK OF 12 RED APPLE TISSUES,77,1220,465.36,0.54
23380,PACK OF 12 VINTAGE DOILY TISSUES,123,2344,983.5,0.49
23381,PACK OF 12 VINTAGE LEAF TISSUES,81,1496,562.88,0.48
23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,221,1875,7356.18,4.66
23388,WOODLAND MINI BACKPACK,154,821,3432.09,4.63
23389,SPACEBOY MINI BACKPACK,239,1115,4751.49,4.53
23390,DOLLY GIRL MINI BACKPACK,166,747,3025.59,4.39
23391,I LOVE LONDON MINI BACKPACK,88,389,1628.17,4.61
23392,SPACEBOY ROCKET LOLLY MAKERS,114,662,1475.03,2.7
23393,HOME SWEET HOME CUSHION COVER,231,801,3207.91,4.48
23394,POSTE FRANCE CUSHION COVER,152,435,1877.65,4.95
23395,BELLE JARDINIERE CUSHION COVER,211,748,3257.08,4.92
23396,LE JARDIN BOTANIQUE CUSHION COVER,201,654,2750.53,4.8
23397,FOOT STOOL HOME SWEET HOME,217,489,5097.65,11.57
23398,HANGING HEART BONHEUR,75,606,535.35,1.05
23399,HOME SWEET HOME HANGING HEART,234,1914,1745.55,1.11
23400,SHELF WITH 4 HOOKS HOME SWEET HOME,108,461,2409.34,6.85
23401,RUSTIC MIRROR WITH LACE HEART,83,459,2354.87,7.09
23402,HOME SWEET HOME 3 PEG HANGER,68,296,1147.28,4.45
23403,LETTER HOLDER HOME SWEET HOME,135,625,2204.11,4.37
23404,HOME SWEET HOME BLACKBOARD,169,1011,4561.76,6.02
23405,HOME SWEET HOME 2 DRAWER CABINET,71,252,1311.48,5.99
23406,HOME SWEET HOME KEY HOLDER,111,456,2422.66,7.11
23407,SET OF 2 TRAYS HOME SWEET HOME,133,265,2709.43,10.68
23408,PHOTO FRAME LINEN AND LACE SMALL,59,310,644.8,2.08
23409,PHOTO FRAME LINEN AND LACE LARGE,43,215,801.68,3.81
23410,CURIO CABINET LINEN AND LACE,18,36,290.1,8.03
23411,TRELLIS COAT RACK,57,227,1118.61,5.84
23412,HEART MIRROR ANTIQUE WHITE,77,358,2354.8,7.72
23413,VINTAGE COFFEE GRINDER BOX,58,173,909.31,6.32
23414,ZINC BOX SIGN HOME,64,141,1378.75,10.07
23415,HOME SWEET HOME HOOK,47,328,412.18,1.45
23416,CHAMBRE HOOK,25,132,184.68,1.76
23417,BATHROOM HOOK,28,146,157.5,1.6
23418,LAVENDER TOILETTE BOTTLE,79,557,1166.0,2.56
23419,HOME SWEET HOME BOTTLE,86,473,1043.72,2.67
23420,PANTRY HOOK TEA STRAINER,32,164,351.37,2.34
23421,PANTRY HOOK SPATULA,33,160,349.2,2.51
23422,PANTRY HOOK BALLOON WHISK,47,213,477.89,2.78
23423,PANTRY 3 HOOK ROLLING PIN HANGER,66,219,876.9,4.54
23424,GINGHAM RECIPE BOOK BOX,135,462,2509.62,6.19
23425,STORAGE TIN HOME SWEET HOME,56,275,621.44,3.1
23426,METAL SIGN DROP YOUR PANTS,208,1275,3444.43,3.33
23427,STOOL HOME SWEET HOME,115,237,2860.58,12.97
23428,IVORY RETRO KITCHEN WALL CLOCK,33,77,675.91,9.92
23429,RED RETRO KITCHEN WALL CLOCK,23,47,400.01,8.89
23430,BLUE RETRO KITCHEN WALL CLOCK,18,36,301.88,8.62
23431,NATURAL HANGING QUILTED HEARTS,74,1449,1171.23,1.36
23432,PRETTY HANGING QUILTED HEARTS,74,1276,1088.36,1.37
23433,HANGING QUILTED PATCHWORK APPLES,89,1258,1108.58,1.5
23434,3 RAFFIA RIBBONS 50 S CHRISTMAS,200,2095,1884.17,0.88
23435,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,99,824,732.42,0.9
23436,VINTAGE CHRISTMAS GIFT BAG LARGE,114,1979,2367.39,1.44
23437,50 S CHRISTMAS GIFT BAG LARGE,131,1939,2373.63,1.42
23438,RED SPOT GIFT BAG LARGE,109,1809,2209.92,1.37
23439,HAND WARMER RED LOVE HEART,412,3986,8855.51,2.23
23440,PAINT YOUR OWN EGGS IN CRATE,5,164,299.36,2.02
23441,HAND PAINTED HANGING EASTER EGG,3,22,9.24,0.42
23442,12 HANGING EGGS HAND PAINTED,8,40,83.2,2.08
23444,NEXT DAY CARRIAGE,79,79,1200.0,15.19
23445,ICE CREAM BUBBLES,102,2668,2161.24,0.87
23446,BLUE BUNNY EASTER EGG BASKET,3,157,230.25,1.58
23447,PINK BUNNY EASTER EGG BASKET,4,158,231.9,1.6
23448,CREAM BUNNY EASTER EGG BASKET,3,25,41.25,1.65
23449,SET OF 6 EASTER RAINBOW CHICKS,1,12,15.0,1.25
23451,SQUARE MINI PORTRAIT FRAME,53,277,556.17,2.27
23452,HEART MINI PORTRAIT FRAME,87,518,1021.76,2.07
23453,OVAL MINI PORTRAIT FRAME,49,316,615.98,1.99
23454,THREE MINI HANGING FRAMES,55,174,733.2,4.52
23455,SMALL PARLOUR PICTURE FRAME,36,207,569.43,2.87
23456,MEDIUM PARLOUR PICTURE FRAME,36,158,634.1,4.12
23457,LARGE PARLOUR PICTURE FRAME,31,112,549.88,5.11
23458,DOLLY CABINET 3 DRAWERS,30,51,762.45,14.95
23459,DOLLY CABINET 2 DRAWERS,19,33,412.5,12.5
23460,SWEETHEART WALL TIDY,43,108,1007.08,9.9
23461,SWEETHEART BIRD HOUSE,100,847,3041.21,4.55
23462,ROCOCO WALL MIRROR WHITE,46,80,1607.04,20.7
23463,VINTAGE ZINC WATERING CAN,8,13,139.4,11.21
23464,VINTAGE ZINC WATERING CAN SMALL,8,18,99.2,6.21
23465,TUSCAN VILLA BIRD FEEDER,16,29,247.63,8.77
23466,TUSCAN VILLA DOVECOTE BIRD FEEDER,27,55,498.03,10.08
23467,VINTAGE ZINC PLANTER,11,32,120.08,4.37
23468,TUSCAN VILLA BIRD TABLE,11,19,156.75,8.25
23469,CARD HOLDER LOVE BIRD SMALL,72,332,1355.24,4.64
23470,CARD HOLDER LOVE BIRD LARGE,84,232,1460.5,6.81
23471,SIX DRAWER OFFICE TIDY,27,65,616.79,10.16
23472,NINE DRAWER OFFICE TIDY,33,58,894.42,16.09
23473,WOODLAND SMALL RED FELT HEART,51,678,552.02,0.95
23474,WOODLAND SMALL BLUE FELT HEART,38,312,270.96,1.04
23475,WOODLAND SMALL PINK FELT HEART,31,286,242.18,0.96
23476,WOODLAND LARGE RED FELT HEART,22,205,264.72,1.47
23477,WOODLAND LARGE BLUE FELT HEART,13,92,123.47,1.72
23478,WOODLAND LARGE PINK FELT HEART,13,285,324.4,1.51
23479,WIRE EGG BASKET,44,113,872.38,8.27
23480,MINI LIGHTS WOODLAND MUSHROOMS,218,1798,6719.14,4.43
23481,PEARLISED IVORY HEART SMALL,32,228,281.17,1.28
23482,PEARLISED IVORY HEART LARGE,39,418,661.02,1.77
23483,HANGING BUTTERFLY T LIGHT HOLDER,74,1328,1636.36,2.41
23484,HEART TRELLIS TRIPLE T LIGHT HOLDER,36,185,547.35,3.67
23485,BOTANICAL GARDENS WALL CLOCK,83,262,5843.92,24.79
23486,ANTIQUE HEART SHELF UNIT,74,275,4145.47,17.81
23487,SWEET HEART CAKE CARRIER,44,80,795.58,10.37
23489,VINTAGE BELLS GARLAND,165,913,2709.23,3.22
23490,T LIGHT HOLDER HANGING LOVE BIRD,101,542,2032.77,3.96
23491,VINTAGE JINGLE BELLS HEART,79,228,1897.76,8.46
23492,VINTAGE JINGLE BELLS WREATH,28,76,635.38,8.55
23493,VINTAGE DOILY TRAVEL SEWING KIT,424,3964,8497.98,2.16
23494,VINTAGE DOILY DELUXE SEWING KIT,206,809,5354.01,6.81
23495,SET OF 3 PANTRY WOODEN SPOONS,41,225,306.66,1.72
23496,PANTRY KITCHEN THERMOMETER,31,112,154.52,1.56
23497,CLASSIC CHROME BICYCLE BELL,200,2558,3656.02,1.62
23498,CLASSIC BICYCLE CLIPS,102,1640,2372.68,1.66
23499,SET 12 VINTAGE DOILY CHALK,113,1312,586.23,0.48
23500,KEY RING BASEBALL BOOT ASSORTED,102,1626,2038.33,1.39
23501,KEY RING BASEBALL BOOT UNION JACK,114,1821,2217.87,1.5
23502,PLAYING CARDS VINTAGE DOILY,95,714,896.41,1.3
23503,PLAYING CARDS KEEP CALM CARRY ON,342,3643,4860.55,1.28
23504,PLAYING CARDS JUBILEE UNION JACK,217,1927,2848.89,1.35
23505,PLAYING CARDS I LOVE LONDON,117,1200,1651.29,1.35
23506,MINI PLAYING CARDS SPACEBOY,151,2723,1129.12,0.46
23507,MINI PLAYING CARDS BUFFALO BILL,127,2882,1155.67,0.47
23508,MINI PLAYING CARDS DOLLY GIRL,128,2627,1163.45,0.47
23509,MINI PLAYING CARDS FUN FAIR,66,1062,451.46,0.49
23510,MINI PLAYING CARDS GYMKHANA,125,2521,1118.8,0.5
23511,EMBROIDERED RIBBON REEL EMILY,99,571,1252.01,2.33
23512,EMBROIDERED RIBBON REEL ROSIE,57,500,975.24,2.32
23513,EMBROIDERED RIBBON REEL SUSIE,70,566,1114.26,2.31
23514,EMBROIDERED RIBBON REEL SALLY,74,478,977.39,2.35
23515,EMBROIDERED RIBBON REEL DAISY,72,579,1164.98,2.39
23516,EMBROIDERED RIBBON REEL SOPHIE,44,296,1058.6,3.85
23517,EMBROIDERED RIBBON REEL REBECCA,63,334,996.38,3.45
23518,EMBROIDERED RIBBON REEL RACHEL,44,361,980.41,3.1
23519,EMBROIDERED RIBBON REEL CLAIRE,24,224,792.31,4.48
23520,EMBROIDERED RIBBON REEL RUBY,32,167,600.55,3.97
23521,WALL ART CAT AND BIRD,44,413,793.37,4.2
23522,WALL ART DOG AND BALL,32,354,727.44,3.68
23523,WALL ART TREASURE AHOY,41,360,1173.81,3.93
23524,WALL ART HORSE PONY,63,481,1557.63,4.32
23525,WALL ART BUFFALO BILL,53,582,1863.82,4.16
23526,WALL ART DOG LICENCE,144,1012,6021.4,8.25
23527,WALL ART ANIMALS AND NATURE,48,420,1428.56,4.0
23528,WALL ART SPACEBOY,50,479,1504.49,4.78
23529,WALL ART DOLLY GIRL,37,637,2011.99,4.34
23530,WALL ART ONLY ONE PERSON,87,1056,4436.27,5.58
23531,WALL ART BIG LOVE,113,976,5538.26,7.66
23532,WALL ART WORK REST AND PLAY,31,210,901.58,5.3
23533,WALL ART GARDEN HAVEN,36,215,998.64,6.17
23534,WALL ART STOP FOR TEA,261,1387,8608.9,7.54
23535,WALL ART BICYCLE SAFETY,216,1324,8440.24,7.45
23536,WALL ART VILLAGE SHOW,85,626,3442.13,6.79
23537,WALL ART I LOVE LONDON,34,111,581.13,6.94
23538,WALL ART VINTAGE HEART,32,331,1329.54,5.78
23539,WALL ART LOVES SECRET,42,247,1227.95,6.59
23540,WALL ART THE MAGIC FOREST,14,150,947.06,8.42
23541,WALL ART CLASSIC PUDDINGS,152,872,6823.91,9.71
23542,WALL ART 70 S ALPHABET,89,506,3800.16,9.78
23543,WALL ART KEEP CALM,105,1236,7010.76,8.53
23544,WALL ART MID CENTURY MODERN,20,164,1015.78,7.52
23545,WRAP RED VINTAGE DOILY,85,2480,1025.6,0.42
23546,WRAP PAISLEY PARK,120,3250,1365.0,0.42
23547,WRAP FLOWER SHOP,62,1575,661.5,0.42
23548,WRAP MAGIC FOREST,43,1075,451.5,0.42
23549,WRAP BIRD GARDEN,52,1305,548.1,0.42
23550,WRAP ALPHABET POSTER,64,1855,763.1,0.42
23551,PACK OF 12 PAISLEY PARK TISSUES,138,1840,839.84,0.52
23552,BICYCLE PUNCTURE REPAIR KIT,123,1863,3881.91,2.26
23553,LANDMARK FRAME CAMDEN TOWN,68,568,6444.65,13.3
23554,LANDMARK FRAME OXFORD STREET,57,422,4805.53,13.05
23555,LANDMARK FRAME NOTTING HILL,51,421,4780.57,12.9
23556,LANDMARK FRAME COVENT GARDEN,53,436,4937.01,12.62
23557,LANDMARK FRAME BAKER STREET,32,350,3930.27,13.18
23558,LANDMARK FRAME LONDON BRIDGE,52,415,4703.87,13.13
23559,WOODLAND BUNNIES LOLLY MAKERS,124,649,1482.41,2.87
23560,SET OF 6 RIBBONS COUNTRY STYLE,26,172,499.18,3.54
23561,SET OF 6 RIBBONS PARTY,16,170,476.0,3.41
23562,SET OF 6 RIBBONS PERFECTLY PRETTY,43,251,724.59,3.29
23564,EGG CUP MILKMAID INGRID,76,644,841.31,1.76
23565,EGG CUP MILKMAID HELGA,63,410,586.31,1.85
23566,EGG CUP MILKMAID HEIDI,83,881,1156.93,1.77
23567,EGG CUP HENRIETTA HEN PINK,38,211,291.58,1.82
23568,EGG CUP HENRIETTA HEN CREAM,48,630,787.52,1.75
23569,TRADTIONAL ALPHABET STAMP SET,196,954,4717.66,5.3
23570,TRADITIONAL PICK UP STICKS GAME,286,2772,4931.87,1.43
23571,TRADITIONAL NAUGHTS CROSSES,262,2841,6406.91,1.89
23574,PACKING CHARGE,14,14,105.0,7.5
23575,SNACK TRAY PAISLEY PARK,34,179,367.35,2.58
23576,SNACK TRAY RED VINTAGE DOILY,38,198,400.04,2.4
23578,SNACK TRAY RED GINGHAM,14,60,125.72,2.42
23579,SNACK TRAY I LOVE LONDON,35,169,358.75,2.63
23580,SNACK TRAY HAPPY FOREST,25,116,234.92,2.21
23581,JUMBO BAG PAISLEY PARK,345,5020,11581.83,2.26
23582,VINTAGE DOILY JUMBO BAG RED,262,4802,10206.41,2.21
23583,LUNCH BAG PAISLEY PARK,332,3385,5497.33,1.8
23597,PAPER BUNTING PAISLEY PARK,31,249,679.07,3.19
23598,PAPER BUNTING VINTAGE PARTY,47,427,1215.53,3.24
23601,SET 10 CARDS SNOWY SNOWDROPS 17100,4,8,19.92,2.49
23602,SET 10 CARDS 3 WISE MEN 17107,1,1,2.91,2.91
23603,SET 10 CARD KRAFT REINDEER 17084,14,20,49.8,2.49
23604,SET 10 MINI SANTA SNOWMAN 17087,2,4,6.64,1.66
23605,SET 10 CARDS 12 DAYS OF XMAS 17059,1,4,11.64,2.91
23607,SET 10 CARDS HATS STOCKINGS 17081,7,8,13.28,1.66
23608,SET 10 CARDS RUDOLPHS NOSE 17097,3,4,11.64,2.91
23609,SET 10 CARDS SNOWY ROBIN 17099,1,1,2.91,2.91
23610,SET 10 CARDS CHRISTMAS ROBIN 17095,3,3,6.24,2.08
23611,SET 10 CARDS RED RIDING HOOD 17214,16,40,99.6,2.49
23612,SET 10 MINICARDS CUTE SNOWMAN 17071,2,5,8.3,1.66
23613,SET 10 XMAS CARDS BADGES 17070,6,11,27.39,2.49
23614,SET 10 CARDS 12 DAYS WRAP 17058,11,26,86.58,3.33
23615,SET 10 CARDS PRINTED GRAPHIC 17219,4,4,9.96,2.49
23616,SET 10 CARDS JINGLE BELLS 17217,7,8,19.92,2.49
23617,SET 10 CARDS SWIRLY XMAS TREE 17104,1,2,5.82,2.91
23619,SET 10 CARDS POINSETTIA 17093,2,4,9.96,2.49
23620,SET 10 CARDS PERFECT POST 17090,7,10,24.9,2.49
23621,SET 10 CARDS DAVID S MADONNA 17074,4,6,14.94,2.49
23623,SET 10 CARD CHRISTMAS WELCOME 17112,6,8,23.28,2.91
23624,SET 10 CARD PERFECT NATIVITY 17089,4,4,9.96,2.49
23625,SET 6 CARDS SPARKLY REINDEER 17262,4,9,44.91,4.99
23626,SET 10 CARDS DINKY TREE 17076,16,43,107.07,2.49
23627,SET 10 CARDS XMAS GRAPHIC 17218,2,7,17.43,2.49
23628,SET 10 CARDS TRIANGLE ICONS 17220,1,1,2.91,2.91
23629,SET 10 CARDS DRESSING UP 17077,10,24,59.76,2.49
23630,SET 10 CARDS HANGING BAUBLES 17080,2,2,5.48,2.74
23632,SET 10 CARDS CHEERFUL ROBIN 17065,10,15,31.2,2.08
23633,SET 10 CARDS WORLD CHILDREN 17067,3,3,7.47,2.49
23634,SET 10 CARDS XMAS CHOIR 17068,5,5,14.55,2.91
23635,SET 10 CARDS CHRISTMAS HOLLY 17259,3,3,12.48,4.16
23636,SET 10 CARDS WISHING TREE 17116,7,9,26.19,2.91
23637,SET 10 CARDS OUT OF ORDER 17216,9,11,27.39,2.49
23638,SET 10 CARDS ROBIN WATERPUMP 17096,2,2,5.82,2.91
23639,SET 10 CARDS MAGICAL TREE 17086,4,4,13.32,3.33
23640,SET 10 CARDS SCOTTIE DOG 17211,8,9,22.41,2.49
23643,SET 10 CARDS CHRISTMAS BAUBLE 16954,1,1,3.33,3.33
23644,SET 10 CARDS CHRISTMAS TREE 16955,5,5,16.65,3.33
23645,SET 10 CHRISTMAS CARDS HOHOHO 16956,4,9,22.41,2.49
23646,SET 10 CARDS JINGLE BELLS 16957,5,8,19.92,2.49
23649,SET 10 CARDS DECK THE HALLS 16960,2,2,4.98,2.49
23650,SET 10 CARDS FILIGREE BAUBLE 16961,4,4,9.96,2.49
23652,SET 10 CARD CHRISTMAS STAMPS 16963,1,2,5.82,2.91
23654,SET 10 CARD SNOWMAN 16965,4,5,12.45,2.49
23660,HENRIETTA HEN MUG,42,306,534.66,2.24
23661,MILK MAIDS MUG,34,219,393.59,2.23
23664,FLOWER SHOP DESIGN MUG,1,1,1.65,1.65
23681,LUNCH BAG RED VINTAGE DOILY,133,1576,2525.04,1.87
23691,WRAP KEEP CALM BIRTHDAY,38,1175,481.5,0.42
23692,WRAP A PRETTY THANK YOU,2,50,21.0,0.42
23694,PAISLEY PARK CARD,41,376,165.08,0.59
23695,DOILY THANK YOU CARD,57,741,313.24,0.5
23697,A PRETTY THANK YOU CARD,36,456,194.58,0.52
23702,HIGH RESOLUTION IMAGE,3,4,27.0,8.5
23843,PAPER CRAFT LITTLE BIRDIE,1,80995,168469.6,2.08
30086C,ASSORTED FRUIT STRAWS,1,1,1.7,1.7
35001B,HAND OPEN SHAPE BLACK,6,17,59.33,3.49
35001G,HAND OPEN SHAPE GOLD,105,715,2259.47,4.2
35001P,HAND OPEN SHAPE PINK,2,2,6.98,3.49
35001W,HAND OPEN SHAPE DECO WHITE,192,883,2806.69,4.09
35004B,SET OF 3 BLACK FLYING DUCKS,276,1474,6809.65,6.74
35004C,SET OF 3 COLOURED FLYING DUCKS,380,3062,16218.1,8.08
35004G,SET OF 3 GOLD FLYING DUCKS,77,359,1419.51,6.25
35004P,SET OF 3 PINK FLYING DUCKS,44,121,651.69,6.94
35004S,SET OF 3 SILVER FLYING DUCKS,25,146,518.4,7.51
35015,JACOBS LADDER SMALL,39,2072,134.08,0.09
35051B,PINK BEADED CONE CHRISTMAS,2,14,5.88,0.42
35071,ASSORTED SANTA CHRISTMAS DECORATION,7,50,51.14,2.08
35085E,IVORY ROSE LAMPSHADE,9,39,44.25,1.17
35095A,BLUE VICTORIAN FABRIC OVAL BOX,166,1809,725.56,0.64
35095B,RED VICTORIAN FABRIC OVAL BOX,177,1952,766.64,0.62
35096A,BLUE VICTORIAN FABRIC HEART BOX,50,765,272.45,0.67
35096B,RED VICTORIAN FABRIC HEART BOX,25,293,106.49,0.47
35160,BUDDHA INCENSE HOLDER ASSORTED,56,2180,1590.64,0.82
35233,PASTA ENAMEL BRASS CONTAINER,8,10,37.5,3.75
35240,ENAMEL BLUE RIM OVAL TRAY SET 2,39,49,416.01,8.49
35241,ENAMEL BLUE RIM BISCUIT BIN,130,309,1631.42,6.06
35265,COLOURFUL FLOWER FRUIT BOWL,16,21,80.0,3.45
35271S,GOLD PRINT PAPER BAG,20,420,85.97,0.23
35400,WOODEN BOX ADVENT CALENDAR,423,1435,13999.1,10.47
35443,RASTA IN BATH W SPLIFF ASHTRAY,10,16,13.6,0.85
35471A,SET OF 3 BIRD L BLUE FEATHER,85,421,499.31,1.61
35471D,SET OF 3 BIRD LIGHT PINK FEATHER,356,2241,1591.86,1.23
35537,CANDLE RING W CLEAR BEADS,3,13,5.46,0.42
35591T,TURQUOISE CHRISTMAS TREE,9,17,21.25,1.25
35594,WOODEN CHRISTMAS TREE 3 HANGING,39,165,103.06,1.0
35596,WOOD XMAS TREE 9 FIG SHELVES,4,29,24.65,0.85
35597A,DUSTY PINK CHRISTMAS TREE 30CM,4,10,12.5,1.25
35597B,BLACKCHRISTMAS TREE 30CM,7,78,224.1,1.55
35597D,PINK WHITE CHRISTMAS TREE 30CM,8,58,25.28,0.58
35598A,DUSTY PINK CHRISTMAS TREE 60CM,3,10,29.5,2.95
35598B,BLACK CHRISTMAS TREE 60CM,57,931,874.65,2.55
35598C,WHITE CHRISTMAS TREE 60CM,3,3,8.85,2.95
35598D,PINK WHITE CHRISTMAS TREE 60CM,103,1727,1312.2,1.64
35599B,BLACK CHRISTMAS TREE 120CM,51,268,974.81,5.79
35599D,PINK AND WHITE CHRISTMAS TREE 120CM,103,406,1366.48,4.74
35600D,PINK AND WHITE CHRISTMAS TREE 180CM,13,141,497.7,7.08
35603B,S 16 BLACK SHINY MAT BAUBLES,2,50,21.0,0.42
35603C,SET 16 WHITE SHINY MATT BAUBLES,25,83,48.3,0.69
35607A,PINK FLUFFY CHRISTMAS DECORATION,31,554,118.43,0.33
35607B,BLACK FEATHER CHRISTMAS DECORATION,17,312,62.3,0.28
35609A,PINK FEATHER CHRISTMAS DECORATION,24,447,133.23,0.82
35610A,PINK CHRISTMAS FLOCK DROPLET,12,143,105.43,1.54
35610B,BLACK CHRISTMAS FLOCK DROPLET,14,179,144.07,1.13
35610C,WHITE CHRISTMAS FLOCK DROPLET,8,94,81.56,1.47
35611B,BLACK ASSORTED DROPLET DECORATION,4,62,45.76,2.23
